Key,Value
a.k.a.,also known as
a/s/l,"age, sex, location"
afaik,as far as I know
afk,away from keyboard
aka,also known as
asap,as soon as possible
atm,at the moment
b4,before
b/c,because
bcos,because
bfn,bye for now
b4n,bye for now
brb,be right back
btw,by the way
cu,see you
cya,see you later
dnd,do not disturb
emo,emotional
fomo,fear of missing out
ftw,for the win
fwiw,for what it's worth
fyi,for your information
gg,good game
gj,good job
gl,good luck
gn,good night
gr8,great
gtg,got to go
hbd,happy birthday
hmu,hit me up
idc,I don't care
idk,I don't know
ifyp,I feel your pain
imo,in my opinion
imho,in my humble opinion
irl,in real life
jk,just kidding
k,okay
kk,okay
lmao,laughing my ass off
lmk,let me know
lol,laugh out loud
mfw,my face when
mtfbwy,may the force be with you
nbd,no big deal
nm,nevermind
np,no problem
nsfw,not safe for work
nth,nothing
nvm,never mind
omg,oh my god
omfg,oh my f***ing god
omw,on my way
orly,oh really
otw,on the way
pov,point of view
rofl,rolling on the floor laughing
rotfl,rolling on the floor laughing
smh,shaking my head
stfu,shut the fuck up
tba,to be announced
tbh,to be honest
thx,thanks
tia,thanks in advance
til,today I learned
tl;dr,too long; didn't read
ttyl,talk to you later
ty,thank you
u,you
ur,your
w/e,whatever
wbu,what about you
wtf,what the fuck
wyd,what are you doing
2day,today
2moro,tomorrow
4ward,forward
abt,about
acc,account
app,application
bbl,be back later
bc,because
bf,boyfriend
bff,best friend forever
bk,back
c,see
cm,call me
d/c,disconnected
eod,end of day
etc,et cetera
f2f,face to face
faq,frequently asked questions
hf,have fun
hr,hour
l8r,later
m8,mate
myob,mind your own business
n/a,not applicable
ne1,anyone
oic,"oh, I see"
op,original poster
ot,off topic
otoh,on the other hand
plz,please
ppl,people
prolly,probably
qt,cutie
r,are
rt,retweet
s/o,shout out
sh,shit happens
so,significant other
srsly,seriously
sup,what's up
tmi,too much information
tyvm,thank you very much
w/,with
w/o,without
w8,wait
wassup,what's up
wb,welcome back
wth,what the hell
xd,laugh
xo,hugs and kisses
y,why
ygtr,you got that right
yr,your
yrs,years
yw,you're welcome
2bctnd,to be continued
2d4,to die for
2g2bt,too good to be true
2m2h,too much to handle
4yeo,for your eyes only
adn,any day now
afaic,as far as I'm concerned
afj,April Fools' joke
alap,as late as possible
amirite,am I right
asayc,as soon as you can
asfla,"as soon as feasible, love always"
asl,"age, sex, location"
atw,all the way
awol,absent without leave
b,be
b&,banned
b@u,back at you
bby,baby
bcoz,because
bgd,background
bh,bloody hell
bih,burn in hell
blvd,boulevard
br,best regards
bt,bit torrent
btwitiailwu,by the way I think I am in love with you
bykt,but you knew that
c&g,chuckle and grin
c4n't,can't
cba,can't be arsed
cc,carbon copy
cf,compare
cid,crying in disgrace
cmiiw,correct me if I'm wrong
co,company
cp,copy
cya2m,see you tomorrow
d&d,Dungeons & Dragons
d8,date
da,the
dc,don't care
dilligaf,do I look like I give a fuck
dtrt,do the right thing
dupe,duplicate
dw,don't worry
dwai,don't worry about it
dyk,did you know
em,them
enb,embarrassing
